index,original,generated
0,1,1
1,0.952728479,0.966240578
2,0.886458167,0.954272894
3,0.826415966,0.952736207
4,0.774465073,0.951980782
5,0.719715863,0.955207047
6,0.688013362,0.956594964
7,0.693638715,0.955816886
8,0.726268171,0.953301907
9,0.759831186,0.948682606
10,0.809254917,0.946531789
11,0.862492089,0.943488262
12,0.908260227,0.93767066
13,0.906502325,0.936926587
14,0.863674294,0.93413264
15,0.810859872,0.934822981
16,0.760441289,0.930847639
17,0.705798886,0.926076556
18,0.661468767,0.92391344
19,0.641723185,0.922510728
20,0.652664022,0.916421728
21,0.674506834,0.912694723
22,0.71141419,0.912539872
23,0.762532468,0.90603307
24,0.814407153,0.903560242
25,0.83750748,0.899140112
26,0.832494126,0.896038893
27,0.799696007,0.890897715
28,0.755162019,0.88955414
29,0.704160223,0.885615856
30,0.652966264,0.880498208
31,0.61875418,0.875855773
32,0.606005402,0.870373869
33,0.609614638,0.868090455
34,0.63343855,0.865436311
35,0.67040336,0.859132666
36,0.720984614,0.852618447
37,0.755747665,0.85041788
38,0.768152729,0.846354869
39,0.76052975,0.843477383
40,0.731451378,0.836543009
